id,name,maker,variant,type,productType,strainType,thcPct,cbdPct,terpenes,genetics,countryOfOrigin,irradiationStatus,producerUseCases,producerNotes,sourceName,sourceUrl,sourceType,sourceCheckedAt,sourceLicense,sourceNotes,availabilityStatus,availabilityConfidence,availabilityCheckedAt,availabilitySourceName,availabilitySourceUrl,availabilityNotes,availabilitySignals
aurora-medical-luminarium-flower,Luminarium,Aurora Medical,,sativa,flower,sativa,,,terpinolene:major|b-myrcene:major|a-pinene:major,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/luminarium,official manufacturer product feed,2026-04-02T19:04:33.328Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T19:04:33.338Z,Aurora Medical,https://www.auroramedical.com/products/luminarium,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-mediora-minis-cannatonic-flower-flower,Mediora Minis – Cannatonic CBD Flower,Aurora Medical,,hybrid,flower,hybrid,,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/mediora-minis-cannatonic-flower,official manufacturer product feed,2026-04-02T19:04:33.339Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T19:04:33.339Z,Aurora Medical,https://www.auroramedical.com/products/mediora-minis-cannatonic-flower,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-mediora-minis-citrus-cough-flower-flower,Mediora Minis – Citrus Cough,Aurora Medical,,sativa,flower,sativa,,,terpinolene:major|caryophyllene:major|myrcene:major,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/mediora-minis-citrus-cough-flower,official manufacturer product feed,2026-04-02T19:04:33.339Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T19:04:33.339Z,Aurora Medical,https://www.auroramedical.com/products/mediora-minis-citrus-cough-flower,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-mediora-minis-rexara-flower,Mediora Minis – Rexara,Aurora Medical,,indica,flower,indica,,,caryophyllene:major|limonene:major|farnesene:major,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/mediora-minis-rexara,official manufacturer product feed,2026-04-02T19:04:33.339Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T19:04:33.339Z,Aurora Medical,https://www.auroramedical.com/products/mediora-minis-rexara,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-seasonal-stash-funk-dynasty-flower,Seasonal Stash - Funk Dynasty,Aurora Medical,,indica,flower,indica,,,limonene:major|myrcene:major|caryophyllene:major,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-funk-dynasty,official manufacturer product feed,2026-04-02T19:04:33.338Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T19:04:33.338Z,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-funk-dynasty,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-seasonal-stash-parm-farm-flower,Seasonal Stash - Parm Farm,Aurora Medical,,hybrid,flower,hybrid,,,limonene:major|myrcene:major|linalool:major,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-parm-farm,official manufacturer product feed,2026-04-02T19:04:33.339Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T19:04:33.339Z,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-parm-farm,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-seasonal-stash-pemby-purp-flower-flower,Seasonal Stash - Pemby Purp,Aurora Medical,,indica,flower,indica,,,caryophyllene:major|linalool:major|myrcene:major,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-pemby-purp-flower,official manufacturer product feed,2026-04-02T19:04:33.339Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T19:04:33.339Z,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-pemby-purp-flower,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-seasonal-stash-pomelo-fresco-flower,Seasonal Stash - Pomelo Fresco,Aurora Medical,,hybrid,flower,hybrid,,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-pomelo-fresco,official manufacturer product feed,2026-04-02T19:04:33.339Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T19:04:33.339Z,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-pomelo-fresco,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-seasonal-stash-yuzunami-flower,Seasonal Stash - Yuzunami,Aurora Medical,,hybrid,flower,hybrid,,,myrcene:major|limonene:major|caryophyllene:major,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-yuzunami,official manufacturer product feed,2026-04-02T19:04:33.339Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T19:04:33.339Z,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-yuzunami,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
aurora-medical-seasonal-stash-alpine-sweet-tbd-flower,Seasonal Stash – Alpine Sweet,Aurora Medical,,sativa,flower,sativa,,,limonene:major|caryophyllene:major|pinene:major,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-alpine-sweet-tbd,official manufacturer product feed,2026-04-02T19:04:33.339Z,,Added from Aurora's official public product feed.,available,high,2026-04-02T19:04:33.339Z,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-alpine-sweet-tbd,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed
