id,name,maker,variant,type,productType,strainType,thcPct,cbdPct,terpenes,genetics,countryOfOrigin,irradiationStatus,producerUseCases,producerNotes,sourceName,sourceUrl,sourceType,sourceCheckedAt,sourceLicense,sourceNotes,availabilityStatus,availabilityConfidence,availabilityCheckedAt,availabilitySourceName,availabilitySourceUrl,availabilityNotes,availabilitySignals
aurora-pedanios-electric-honeydew-29-1-flower,Electric Honeydew,Aurora Medical,,hybrid,flower,hybrid,,,"","Girl Scout Cookies x 91 OG Krypt Melon",Canada,,,Aurora describes Electric Honeydew as a high-THC hybrid with lively melon gas and pine notes and dense dark-green buds with bright orange pistils.,Aurora Medical,https://www.auroramedical.com/products/new-electric-honeydew,official manufacturer product page,2026-04-02T00:00:00.000Z,,Upgraded from Aurora's official public product page.,
aurora-medical-luminarium-flower,Luminarium,Aurora Medical,,sativa,flower,sativa,,,"terpinolene:major|b-myrcene:major|a-pinene:major","Mango Haze x California Lemon Skunk",Canada,,,Aurora notes that Luminarium also known as Delahaze has a fresh mango tropical citrus and pine aroma profile.,Aurora Medical,https://www.auroramedical.com/products/luminarium,official manufacturer product page,2026-04-02T00:00:00.000Z,,Upgraded from Aurora's official public product page.,
aurora-medical-mediora-minis-cannatonic-flower-flower,Mediora Minis – Cannatonic CBD Flower,Aurora Medical,,hybrid,flower,hybrid,,,,,Canada,,,Aurora describes Cannatonic as an award-winning CBD cultivar with sweet citrus herbal and earthy notes and dense trichome-frosted buds.,Aurora Medical,https://www.auroramedical.com/products/mediora-minis-cannatonic-flower,official manufacturer product page,2026-04-02T00:00:00.000Z,,Upgraded from Aurora's official public product page.,
aurora-medical-mediora-minis-citrus-cough-flower-flower,Mediora Minis – Citrus Cough,Aurora Medical,,sativa,flower,sativa,,,"terpinolene:major|caryophyllene:major|myrcene:major","La Bomba x White MAC",Canada,,,Aurora positions Citrus Cough as a milder day-to-day sativa with a fruity citrus-forward profile and light gas notes.,Aurora Medical,https://www.auroramedical.com/products/mediora-minis-citrus-cough-flower,official manufacturer product page,2026-04-02T00:00:00.000Z,,Upgraded from Aurora's official public product page.,
aurora-medical-mediora-minis-rexara-flower,Mediora Minis – Rexara,Aurora Medical,,indica,flower,indica,,,"caryophyllene:major|limonene:major|farnesene:major","Freshwater Taffy x Pineapple God",Canada,,,Aurora presents Rexara as a more approachable indica with sweet fruity mint citrus and soft gas notes.,Aurora Medical,https://www.auroramedical.com/products/mediora-minis-rexara,official manufacturer product page,2026-04-02T00:00:00.000Z,,Upgraded from Aurora's official public product page.,
aurora-medical-seasonal-stash-funk-dynasty-flower,Seasonal Stash - Funk Dynasty,Aurora Medical,,indica,flower,indica,,,"limonene:major|myrcene:major|caryophyllene:major","Banana Pudditain x 91 Royale",Canada,,,Aurora says Funk Dynasty blends candy floral and gassy aromas into a potent craft indica profile.,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-funk-dynasty,official manufacturer product page,2026-04-02T00:00:00.000Z,,Upgraded from Aurora's official public product page.,
aurora-medical-seasonal-stash-parm-farm-flower,Seasonal Stash - Parm Farm,Aurora Medical,,hybrid,flower,hybrid,,,"limonene:major|myrcene:major|linalool:major","Jokerz 31 x Gastro Pop",Canada,,,Aurora describes Parm Farm as a pungent hybrid with aged cheese candy and pepper aromas and dense well-cured buds.,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-parm-farm,official manufacturer product page,2026-04-02T00:00:00.000Z,,Upgraded from Aurora's official public product page.,
aurora-medical-seasonal-stash-pemby-purp-flower-flower,Seasonal Stash - Pemby Purp,Aurora Medical,,indica,flower,indica,,,"caryophyllene:major|linalool:major|myrcene:major","Sundae Best x Blue Dream x Holy Grail Kush",Canada,,,Aurora describes Pemby Purp as a powerful indica with pine vanilla gas and earthy woody notes.,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-pemby-purp-flower,official manufacturer product page,2026-04-02T00:00:00.000Z,,Upgraded from Aurora's official public product page.,
aurora-medical-seasonal-stash-pomelo-fresco-flower,Seasonal Stash - Pomelo Fresco,Aurora Medical,,hybrid,flower,hybrid,,,"","Sour Tangie x Blue Dream x First Class Funk",Canada,,,Aurora says Pomelo Fresco carries bold candy citrus and woody aromas with frosty well-structured buds.,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-pomelo-fresco,official manufacturer product page,2026-04-02T00:00:00.000Z,,Upgraded from Aurora's official public product page.,
aurora-medical-seasonal-stash-yuzunami-flower,Seasonal Stash - Yuzunami,Aurora Medical,,hybrid,flower,hybrid,,,"myrcene:major|limonene:major|caryophyllene:major","Chemango Kush x 91 Royale",Canada,,,Aurora describes Yuzunami as a bold hybrid with citrus mint and spice notes and large frosty buds.,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-yuzunami,official manufacturer product page,2026-04-02T00:00:00.000Z,,Upgraded from Aurora's official public product page.,
