id,name,maker,variant,productType,strainType,thcPct,cbdPct,availabilityStatus,availabilityConfidence,availabilityCheckedAt,availabilitySourceName,availabilitySourceUrl,availabilityNotes,availabilitySignals,reviewAction
pck-1packs-rs11-24-1-flower,RS-11,1Packs,,flower,hybrid,24,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-core-acb-25-1-flower,Acai Berry,4C Labs,,,,25,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4clabs-afghan-lights-23-1-flower,Afghan Lights,4C Labs,,flower,,23,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-atd-29-1-flower,Alaskan Thunder,4C Labs,,,,29,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-alu-27-1-flower,Alien Jelly,4C Labs,,,,27,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-bdd-26-1-flower,Banana Daddy,4C Labs,,,,26,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-bwd-30-1-flower,Beach Wedding,4C Labs,,,,30,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-craft-select-bsh-19-1-flower,Blue Sherbet,4C Labs,,,,19,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-bls-25-1-flower,Blue Sunset,4C Labs,,,,25,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-ctr-25-1-flower,Citroli,4C Labs,,,,25,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-value-crl-29-1-flower,Crumble Lime Ten,4C Labs,,,,29,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-dzi-32-1-flower,Dante'z Inferno,4C Labs,,,,32,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-core-dgz-25-1-flower,Dawgzilla,4C Labs,,,,25,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-db-26-1-flower,Death Bubba,4C Labs,,,,26,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4clabs-donkey-butter-31-1-flower,Donkey Butter,4C Labs,,flower,hybrid,31,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-dbk-26-1-flower,Durban Kush,4C Labs,,,,26,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4c-labs-gbu-30-1-flower,Gary Busey,4C Labs,,,,30,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
4clabs-gary-busey-30-1-flower,Gary Busey,4C Labs,,flower,,30,1,,,,,,Prefer explicit producer or public pharmacy wording. Only mark discontinued when a public source clearly states it.,,"Check approved public manufacturer, grower, or pharmacy pages and set available, possibly_unavailable, discontinued, or unknown."
