id,name,maker,variant,type,productType,strainType,thcPct,cbdPct,terpenes,genetics,countryOfOrigin,irradiationStatus,producerUseCases,producerNotes,sourceName,sourceUrl,sourceType,sourceCheckedAt,sourceLicense,sourceNotes,availabilityStatus,availabilityConfidence,availabilityCheckedAt,availabilitySourceName,availabilitySourceUrl,availabilityNotes,availabilitySignals
4c-labs-core-acb-25-1-flower,Acai Berry,4C Labs,,flower,,,25,1,,,,,,,,,,,,,,,,,,,
tilray-afghan-kush-24-1-flower,Afghan Kush,Tilray,,flower,flower,indica,24,1,,,,,,,,,,,,,,,,,,,
4clabs-afghan-lights-23-1-flower,Afghan Lights,4C Labs,,Hybrid,flower,,23,1,,,,,,,,,,,,,,,,,,,
4c-labs-atd-29-1-flower,Alaskan Thunder,4C Labs,,flower,,,29,1,alpha-pinene:minor|beta-pinene:minor|limonene:major,,,,,,,,,,,,,,,,,,
tyson-2-0-atg-30-1-flower,Alexander the Great,PharmaCann International,,flower,,,30,1,alpha-pinene:minor|beta-pinene:minor|myrcene:major,,,,,,,,,,,,,,,,,,
4c-labs-alu-27-1-flower,Alien Jelly,4C Labs,,flower,,,27,1,,,,,,,,,,,,,,,,,,,
pure-sunfarms-alien-pebbles-flower,Alien Pebbles,Pure Sunfarms,,hybrid,flower,,24,,Myrcene:major|Ocimene:major|Limonene:major,Alien OG x Fruity Pebbles OG,Canada,,,"Alien Pebbles is an evenly balanced hybrid strain brought to you by hybrid parents Alien OG x Fruity Pebbles OG (aka FPOG). Its bold fruity aromas are thanks to its Fruity Pebbles parentage, with complex and well-rounded notes of sugary grapes, tangy citrus, fresh herbs and light notes of sweet wood. The inhale is fruity with some subtle skunky notes when burned. Its frosty, stone-shaped buds are wide and chunky with rich forest green colours and eye-catching undertones of gold and bright amber, covered in sticky trichomes.",Pure Sunfarms,https://puresunfarms.com/strains/alien-pebbles/,official producer strain page,2026-04-02T19:40:34.331Z,,Added from the official Pure Sunfarms public strain page.,,,,,,,
aurora-medical-alpine-sweet-flower,Alpine Sweet,Aurora Medical,,sativa,flower,,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/seasonal-stash-alpine-sweet-tbd,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,unknown,2026-04-02T00:00:00.000Z,,https://www.auroramedical.com/products/seasonal-stash-alpine-sweet-tbd,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed,
aurora-medical-altitude-flower,Altitude,Aurora Medical,,indica,flower,,,,,Canada,,,,Aurora Medical,https://www.auroramedical.com/products/altitude-tbd,official manufacturer product feed,2026-04-02T00:00:00.000Z,,Added from Aurora's official public product feed.,available,unknown,2026-04-02T00:00:00.000Z,,https://www.auroramedical.com/products/altitude-tbd,Listed on Aurora's official public product feed on the review date.,official-listing|product-feed,
dalgety-amnesia-haze-27-1-flower,Amnesia Haze,Dalgety,,flower,flower,sativa,27,1,,,,,,,,,,,,,,,,,,,
